Unnamed: 0,id,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,area,reserved_days,occupancy_rate,night_category,distance_to_attraction
44,172332,822284,Rae And Charlie,Bang Sue,13.83148,100.52102,Entire home/apt,1000,3,21,0.17,7,145,Inner,220,60.27,3,11.270860858146609
88,1133843,6220137,Prapussorn,Thon buri,13.72646255738608,100.49129336748284,Private room,800,1,0,0.0,1,365,Inner,0,0.0,1,7.522075150099924
131,608624,2940438,Kinifrog,Thon buri,13.71699,100.4783,Entire home/apt,2000,7,0,0.0,19,354,Inner,11,3.01,7,9.109792235364262
153,742497,3837874,Fr,Samphanthawong,13.73989,100.50179,Private room,1732,5,1,0.01,1,365,Inner,0,0.0,5,6.303820071526232
170,818612,822284,Rae And Charlie,Bang Sue,13.83148,100.52151,Entire home/apt,1000,3,7,0.06,7,146,Inner,219,60.0,3,11.251152655151895
171,822214,822284,Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,0.18,7,124,Inner,241,66.03,3,11.189847991525403
181,1404697,7489121,Anis,Bang Phlat,13.80698,100.5121,Private room,1050,1,0,0.0,10,365,Inner,0,0.0,1,9.315358698968287
182,1405480,7489121,Anis,Bang Phlat,13.80657,100.51192,Private room,1050,1,0,0.0,10,365,Inner,0,0.0,1,9.288575477685123
183,1406065,7489121,Anis,Bang Phlat,13.80685,100.5125,Private room,1050,1,0,0.0,10,365,Inner,0,0.0,1,9.279394552654097
195,861105,822284,Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,0.31,7,107,Inner,258,70.68,3,11.290183616604653
199,866152,822284,Rae And Charlie,Bang Sue,13.82955,100.52119,Entire home/apt,1000,3,0,0.0,7,146,Inner,219,60.0,3,11.066134386868711
270,2590896,13263993,Natty,Bang Sue,13.83165,100.52765,Private room,418,2,0,0.0,1,365,Inner,0,0.0,2,11.040654279442558
329,2720747,13922814,Phakarat,Bang Sue,13.80733,100.53038,Entire home/apt,1843,2,4,0.04,1,173,Inner,192,52.6,2,8.414605525661244
387,3813366,19607233,Panx,Thon buri,13.71066,100.48007,Entire home/apt,907,5,6,0.12,1,325,Inner,40,10.96,5,9.123311545698607
399,3133481,180484661,Pasun,Bang Sue,13.81936,100.53637,Entire home/apt,866,7,36,0.35,2,361,Inner,4,1.1,7,9.463590536998645
